layer_height,exposure_time,exposure_intensity,bottom_layers,bottom_exposure_intensity,lifting_speed,exposure_wait,liquid_speed,bottom_exposure_time,print_mode,needle_definition,layer_adhesion,needle_height,base_thickness,material_curing
4.776185636569418164e-02,6.727286426658558582e+00,8.815859746682657772e+01,5.000000000000000000e+00,8.318662426982925240e+01,1.929261260779737697e+00,1.457128015928329523e+00,2.153104614715489973e+00,1.420278615943897549e+01,2.000000000000000000e+00,6.389918500637892862e+01,4.013671482582519445e+01,5.635245305294920826e+01,6.731489495244528598e+01,7.452148535791927486e+01
9.286685907583572264e-02,9.802831315695497594e+00,5.245731390246576353e+01,3.000000000000000000e+00,8.585465956574040547e+01,1.105120963582861604e+00,1.446018992804511294e+00,2.051700189504052751e+00,2.757911950444005811e+01,0.000000000000000000e+00,6.307377126197136619e+01,3.435960272378115121e+01,3.817543072901482049e+01,8.729748125760026767e+01,7.339112270824649897e+01
7.216059264482106717e-02,8.864995601124519453e+00,6.149597494048165203e+01,3.000000000000000000e+00,6.759683575729282268e+01,1.602118025761115838e+00,1.575549504729602424e+00,9.263305560506797098e-01,2.177376710651211411e+01,0.000000000000000000e+00,6.808141247881522418e+01,4.715096093171040081e+01,4.555991040441584516e+01,7.077990762906701150e+01,7.661906226538887665e+01
6.702039911356712232e-02,3.258833877489664133e+00,5.158770768531743300e+01,7.000000000000000000e+00,9.445837021694430291e+01,2.308939642976564066e+00,3.839313194124157613e-01,6.659410022014912167e-01,2.699741410417076537e+01,0.000000000000000000e+00,4.372309909927624005e+01,4.403683289081158136e+01,7.000320155040607517e+01,8.707829575786838916e+01,4.811419128428586589e+01
4.093898299573722754e-02,6.959414142543249859e+00,5.378918669746608572e+01,3.000000000000000000e+00,8.743564242098230466e+01,1.816801979985108506e+00,9.729733657678467651e-01,2.979385425488515704e+00,2.677845570753386895e+01,0.000000000000000000e+00,6.401821298240439262e+01,3.392820576216112727e+01,6.435521229655245179e+01,8.846679472746239981e+01,6.276911228776855722e+01
1.707593052276394976e-02,8.628609460052462765e+00,5.101418943240077652e+01,6.000000000000000000e+00,7.712158546458491060e+01,6.562359054159162541e-01,1.165708433331182237e+00,1.688921549186330084e+00,2.060124902198278818e+01,1.000000000000000000e+00,7.172258678168500978e+01,6.874213252201461444e+01,7.733371003136041111e+01,7.422483783099043819e+01,6.997679570099225543e+01
2.214940953011283742e-02,1.177730031041698489e+00,9.925418136874954200e+01,5.000000000000000000e+00,8.138120148442504842e+01,6.771891315063300887e-01,1.889001697476263564e+00,1.076388660387150198e+00,1.705135262400197860e+01,0.000000000000000000e+00,5.906784270258693681e+01,6.524702155083390664e+01,7.227889249170824826e+01,7.477452171770796951e+01,6.671257767249842630e+01
1.726930348809770088e-02,5.229009469083431227e+00,5.204456476559627731e+01,4.000000000000000000e+00,6.812739129081137435e+01,2.016197715540092528e+00,1.694486878447924783e+00,1.250085315463174140e+00,1.937610864334627081e+01,2.000000000000000000e+00,5.395610180533458333e+01,5.741074915048609739e+01,6.636708087067688666e+01,6.897223707999459918e+01,6.406005550115217773e+01
8.786249124733927496e-02,5.163418443541022640e+00,7.980181145156362277e+01,8.000000000000000000e+00,8.439831132239660860e+01,2.844544164167992495e+00,7.287302269245292674e-01,2.009975520424297279e+00,2.216097955617528115e+01,0.000000000000000000e+00,5.400991491809641332e+01,2.118442859710044246e+01,6.351328389905683736e+01,8.052797035100715561e+01,6.342957649320582192e+01
5.104209351392462179e-02,3.524746468745516559e+00,6.733872037844086833e+01,6.000000000000000000e+00,7.939111314462637381e+01,2.995191657039511401e+00,1.353473873215591095e+00,2.118593023767330497e+00,2.137136832898664807e+01,2.000000000000000000e+00,4.675682269502513577e+01,3.013801472811672610e+01,5.993601917178510519e+01,7.736489262599120309e+01,5.982092235814848635e+01
5.662208284791023227e-02,6.425386054274332182e+00,6.925619788241741048e+01,5.000000000000000000e+00,7.450891524497401974e+01,1.408397800823907975e+00,9.272254726848052631e-01,1.154853616301620978e+00,1.952860898496951236e+01,2.000000000000000000e+00,5.688506244014752156e+01,5.236121919910611666e+01,5.425669425465463291e+01,7.598093778922839192e+01,6.617302611063549023e+01
1.964204930963990917e-02,3.009369149092718576e+00,5.186421245305840699e+01,5.000000000000000000e+00,8.173390735025978415e+01,9.118276304749801664e-01,1.829578441389879684e+00,6.732633943244923369e-01,2.202624364293151515e+01,1.000000000000000000e+00,4.854242566044545981e+01,7.590875882719467427e+01,7.215252235068012965e+01,8.058780248857860329e+01,5.914947744563357190e+01
9.752440057407080198e-02,7.664988735957329880e+00,6.534249191815773372e+01,7.000000000000000000e+00,6.911569568548284792e+01,2.083155089873626409e+00,9.919585160746066110e-01,8.688713917807717735e-01,2.861923292059087842e+01,0.000000000000000000e+00,5.890672958003120385e+01,3.495872413852986682e+01,5.121735466006448689e+01,8.186084999951731334e+01,6.996996746368120057e+01
7.854269777102200478e-02,3.930191263082285502e+00,9.445335814434812960e+01,5.000000000000000000e+00,7.246195307746306469e+01,2.076337322752157988e+00,6.464842219987900762e-01,1.608230030152354662e+00,2.259213649929599299e+01,2.000000000000000000e+00,4.864236792773793638e+01,3.646511019298666412e+01,4.787962813688174890e+01,7.874872303201392754e+01,6.308415089976431034e+01
6.279541350203855787e-02,9.985956390812003036e+00,7.371778664872664422e+01,3.000000000000000000e+00,9.521740029423386886e+01,1.871654578684638359e+00,1.627453599033216625e+00,1.037013408483259846e+00,2.314199751333406141e+01,2.000000000000000000e+00,6.984750054027090016e+01,4.941463681842496669e+01,4.464093894457533196e+01,8.311534444812106415e+01,8.419612390170337335e+01
1.406024286310429694e-02,7.660168512673720898e+00,9.718522185957741044e+01,4.000000000000000000e+00,9.090159801215477842e+01,1.215451007931092509e+00,1.994661800756416525e+00,2.435671337933957403e+00,1.943311429325979489e+01,2.000000000000000000e+00,7.535986482924106156e+01,5.489333238316602603e+01,6.455141465887311369e+01,7.781244189117265364e+01,8.872329518623168099e+01
9.727723931334929242e-02,8.815684874299325458e+00,5.484114925806975549e+01,7.000000000000000000e+00,9.171792906942620505e+01,2.739945165106432601e+00,1.111645427048296053e+00,2.290657492865603828e+00,2.667674904933961955e+01,0.000000000000000000e+00,5.986675351310132243e+01,1.579098644447953070e+01,5.282377250416179493e+01,8.644141873826669098e+01,6.955862105418884767e+01
4.969178471771078937e-02,2.762860955122207418e+00,7.202119159160537265e+01,8.000000000000000000e+00,6.303508721596633535e+01,6.377500670600090293e-01,1.493386588362165257e-01,1.757749751911725777e+00,1.826007348776366968e+01,0.000000000000000000e+00,5.236111375287224234e+01,5.335202298449962655e+01,7.452750133896762463e+01,6.536702214539845102e+01,4.688139183165471735e+01
3.788932178359559477e-02,3.170300103099452649e+00,5.946137937472690282e+01,4.000000000000000000e+00,6.735730058029230349e+01,2.607753902686444025e+00,9.251556728402048346e-01,2.327459979173897686e+00,1.459174677578169543e+01,0.000000000000000000e+00,5.247090050429026320e+01,3.406537839255484101e+01,6.629821226952567770e+01,6.675068519812640488e+01,5.148222457968650900e+01
8.464003320718983814e-02,6.098822603846911328e+00,7.176765337628083330e+01,6.000000000000000000e+00,7.220550618618752026e+01,5.131908372455397105e-01,6.908113714227637203e-01,1.506794903533632324e+00,2.774714750703888200e+01,1.000000000000000000e+00,5.405813702661880171e+01,5.067912050249923084e+01,4.828604494703541405e+01,8.251508109968835925e+01,6.231902023992701345e+01
4.721222791444942141e-02,2.038534107375733484e+00,9.783323578576376178e+01,8.000000000000000000e+00,6.598353080104237733e+01,2.897385573508102219e+00,6.604002066477663302e-01,7.601804626927686215e-01,1.989282409551825026e+01,2.000000000000000000e+00,4.999349885999868803e+01,4.531854930477549459e+01,6.688447068998878819e+01,6.782513400486769228e+01,5.993813618629845053e+01
7.540934663303312802e-02,9.985949244004594050e+00,5.726236966492889735e+01,6.000000000000000000e+00,9.700564409227393980e+01,2.100359410578860775e+00,1.364952009419219348e+00,1.403863845886020201e+00,2.301835470202974676e+01,1.000000000000000000e+00,6.666243438572692526e+01,3.991859692746628241e+01,5.307654416584683332e+01,8.598060588844896301e+01,7.824848336609738908e+01
2.585589266287965232e-02,5.939454288194465192e+00,9.561067345456970656e+01,4.000000000000000000e+00,7.667268987886404830e+01,1.503679056613921761e+00,1.098043443427566768e+00,2.944902540781704214e+00,1.923870298127659950e+01,1.000000000000000000e+00,7.301140663491555927e+01,4.577882454488639041e+01,7.046963887639846291e+01,7.288731717616239791e+01,7.160126549955849384e+01
7.472430567041063454e-02,7.036779887712067527e+00,8.518812290133777765e+01,7.000000000000000000e+00,9.923005773297265364e+01,2.110209167875391145e+00,1.055345112007844977e+00,2.549068853010432623e+00,1.426013482344735195e+01,0.000000000000000000e+00,6.816494022010637366e+01,2.608728932816391222e+01,6.581682677839928886e+01,7.595205818127722353e+01,7.210865033963618487e+01
2.974143049912980619e-02,4.630813358275868374e+00,5.740018009805343979e+01,4.000000000000000000e+00,9.549796295533590751e+01,2.505181645814513303e+00,6.418070294237705475e-01,2.552865666031232550e+00,1.065817329118174328e+01,1.000000000000000000e+00,5.357380734007748657e+01,3.909392218373071159e+01,6.347898907481703645e+01,7.011100269824461861e+01,5.459914388308622080e+01
4.618340083150324765e-02,1.137803495030991208e+00,6.313666735420426335e+01,6.000000000000000000e+00,7.362319685329588026e+01,1.191605539103532063e+00,1.167132720342084040e+00,1.378530189257715755e+00,1.662791338976698086e+01,0.000000000000000000e+00,4.151217888330166517e+01,5.154560853158650247e+01,6.938028276815616380e+01,7.149120717547926063e+01,5.120016351817046996e+01
8.302957233894375788e-02,8.226153342127432211e+00,6.290425355341505309e+01,8.000000000000000000e+00,7.143326909713042028e+01,1.717322430565868974e+00,6.457586013732901087e-01,1.848430414347724371e+00,1.465226656910238567e+01,2.000000000000000000e+00,5.593162260230022298e+01,3.595587359927910853e+01,5.555805471338020141e+01,6.484078457191611733e+01,6.387257111823518585e+01
5.783373497226099169e-02,1.700953094369539453e+00,7.194216962457591080e+01,7.000000000000000000e+00,7.933902313964749453e+01,1.196139096625025822e+00,1.060579963359126743e-01,1.257154177352044044e+00,2.348431611283626808e+01,0.000000000000000000e+00,4.525096316935571394e+01,5.064492669916118928e+01,7.018360405977657024e+01,8.153175015407292392e+01,4.522376874289246729e+01
4.766329097236798873e-02,6.803748320113200521e+00,8.312143904965356001e+01,3.000000000000000000e+00,9.648618175890266002e+01,1.002735232285847156e+00,3.447792911109456293e-01,2.064143682000329605e+00,1.475619695788364538e+01,2.000000000000000000e+00,6.424386118057536521e+01,4.880776880302678933e+01,5.190107367478547928e+01,7.537198402847459988e+01,6.005314273103303435e+01
8.218886778788089820e-02,2.295744305662009488e+00,6.163483376441787698e+01,7.000000000000000000e+00,9.703853037693541239e+01,1.279981175169630170e+00,1.908784250099497815e-01,8.721890847963069682e-01,1.328031978053337525e+01,0.000000000000000000e+00,3.959333945793532905e+01,4.741264848455182346e+01,5.615349478767686264e+01,7.094015276223714750e+01,4.308123378206661158e+01
1.460885405916059580e-02,9.362154716587181014e+00,6.091626600386052104e+01,5.000000000000000000e+00,7.266677355074908462e+01,7.002501066352111447e-01,1.476675534044075366e+00,1.197605996637826742e+00,2.337426022550189941e+01,0.000000000000000000e+00,8.185801873151537222e+01,6.642907448953550897e+01,7.304293656760552267e+01,7.686473916778169269e+01,7.833907563609868419e+01
8.721790485910865809e-02,5.826099886379055626e+00,8.372061483163983553e+01,8.000000000000000000e+00,8.165048601822627461e+01,2.008859202241461972e+00,1.203591333227148619e-01,2.973478657314603701e+00,2.699246550452368609e+01,2.000000000000000000e+00,5.340162371367510730e+01,2.035080918413580164e+01,5.243187231022721306e+01,8.542709847874718321e+01,5.914520526302877812e+01
7.517205920680063158e-02,5.890997572095105106e+00,9.536892821621150063e+01,8.000000000000000000e+00,8.295020126933820848e+01,8.516236286979940173e-01,1.954870408687386041e+00,2.830237992219485132e+00,2.527561275808975338e+01,1.000000000000000000e+00,6.122227351682241192e+01,3.950131992497340150e+01,5.925571302478593338e+01,8.368687653048523600e+01,8.144191515847765572e+01
2.361588424720443419e-02,6.771646681938947587e+00,7.847667665977493812e+01,7.000000000000000000e+00,9.538786548636082330e+01,1.209983471605609484e+00,1.499801288997862692e+00,7.056154630182482901e-01,1.025823712492377737e+01,2.000000000000000000e+00,6.583082222041342391e+01,6.796074965051508343e+01,7.003016493118518326e+01,7.052807050626216778e+01,7.444361412874222594e+01
5.770466724867731600e-02,8.769914608459689731e+00,7.545241245117063045e+01,4.000000000000000000e+00,7.301114346439899805e+01,2.157625390940347998e+00,1.530713452560350074e+00,1.530934961102315750e+00,1.497547368857792449e+01,2.000000000000000000e+00,6.746337758078244917e+01,4.197125599914094352e+01,4.981673397329508646e+01,6.436786569537368052e+01,8.219864186510514514e+01
8.755462008611888947e-02,7.258757687805326597e+00,6.815972526696668865e+01,3.000000000000000000e+00,7.471966843278116244e+01,2.818623569224083081e+00,1.193584565713668999e+00,1.376586349726415026e+00,1.360377499222673947e+01,1.000000000000000000e+00,5.639402251800798638e+01,3.140238738312262257e+01,4.011847537837151378e+01,6.304956216281251358e+01,6.966203929891598534e+01
4.928917636349491871e-02,8.971244408165386375e+00,7.411080959450164585e+01,5.000000000000000000e+00,7.079853076958221436e+01,1.210710830585509212e+00,4.706388242542501876e-01,6.744704830228421821e-01,2.244776231566698854e+01,1.000000000000000000e+00,7.243135518989328148e+01,6.334371950460469236e+01,6.061205621061449023e+01,7.636227291748754453e+01,7.187111989042958271e+01
4.996729366479995410e-02,7.933987102926386648e+00,5.657836144929764544e+01,6.000000000000000000e+00,7.150657351004340967e+01,2.009481630557879761e+00,1.338276045466426645e+00,2.540713922608029751e+00,2.432797621878539118e+01,2.000000000000000000e+00,6.046475586811169478e+01,3.734038707349212416e+01,6.106907947988663210e+01,7.673616915813821038e+01,7.015053951430094514e+01
6.074080153611461502e-02,4.317269708693831198e+00,8.350614258176111093e+01,7.000000000000000000e+00,8.125759980598643040e+01,8.581145153138115544e-01,4.788706420332378144e-01,2.976695084628535160e+00,1.732782357748038393e+01,1.000000000000000000e+00,5.415733147959786464e+01,4.416319838527823549e+01,7.135941355812838083e+01,7.071819733742822223e+01,6.257372297620869261e+01
3.064755410709579797e-02,6.571350635525278427e+00,5.528627504101652335e+01,8.000000000000000000e+00,9.460366271975286168e+01,2.217771438964720510e+00,1.325861725083956832e+00,1.948374517816940710e+00,1.207651214839595077e+01,2.000000000000000000e+00,5.845119724597923039e+01,4.403611582745835307e+01,7.214613679967040127e+01,7.313239684672812757e+01,6.163524132648154819e+01
4.097062311398560336e-02,3.388687875753973344e+00,8.886721219052196830e+01,7.000000000000000000e+00,6.412904610791576943e+01,2.752415533025194261e+00,6.011385100733770415e-01,2.840809315234954280e+00,1.753395788564595392e+01,2.000000000000000000e+00,5.484280722133550512e+01,2.898815382622315795e+01,6.780509296663761631e+01,6.661252413019995799e+01,6.172389216358254771e+01
3.968519882673596927e-02,6.390675198141014590e+00,6.148490678417410038e+01,3.000000000000000000e+00,6.831866412567322300e+01,2.771765779121130091e+00,1.115519142761046467e+00,2.456925014260715301e+00,2.541785991420316648e+01,2.000000000000000000e+00,5.787414110693196534e+01,3.284896703413657804e+01,5.010333826492360032e+01,7.750839978780442152e+01,6.488984673591016872e+01
2.950288760734127991e-02,4.644838831792833744e+00,8.794021016165888227e+01,4.000000000000000000e+00,6.202037230998787010e+01,9.284765114740827219e-01,6.470782263999663719e-01,7.773344126781518426e-01,2.181173428181952545e+01,0.000000000000000000e+00,6.768911103400550644e+01,6.505971299200345470e+01,7.089496887931008473e+01,6.440568238620026875e+01,6.247292567017272802e+01
5.569070642312001079e-02,9.526609927899746921e+00,5.388738580792415434e+01,6.000000000000000000e+00,6.972354976266345261e+01,1.018527580311404446e+00,1.384212906854439096e+00,1.669643822283285894e+00,2.927756859347296370e+01,0.000000000000000000e+00,7.194646272928260089e+01,4.888890770409853559e+01,6.145680425757170440e+01,8.528700390892946359e+01,7.490800130752290897e+01
1.006839177739253348e-02,6.515472710146808843e+00,7.344885449608082695e+01,7.000000000000000000e+00,7.268273457555903860e+01,1.869770166680814860e+00,1.252867207235664138e+00,1.684038911551936524e+00,2.040283509874409518e+01,2.000000000000000000e+00,6.709407811282967771e+01,5.618795509948936484e+01,7.337988067138846304e+01,7.081507970220502557e+01,6.970712065708084992e+01
2.005661212956898545e-02,5.547246290063649887e+00,6.083691963935017810e+01,4.000000000000000000e+00,6.646645915917500247e+01,2.564127332458788988e+00,1.036326711937742701e-01,2.910984096587454939e+00,2.733528992931808332e+01,2.000000000000000000e+00,5.769978541810811379e+01,3.612155347501294500e+01,6.828475194860914144e+01,8.670481531670138509e+01,5.100324829570739382e+01
5.711866068550348202e-02,5.950537833906810903e+00,7.410056556332415312e+01,3.000000000000000000e+00,8.200592892639707543e+01,5.560954711757843949e-01,1.891223873168775826e+00,2.676591437101595528e+00,2.891325867510840197e+01,2.000000000000000000e+00,5.872180416065600639e+01,4.538250624990099169e+01,4.723566388723073572e+01,8.891397214806112004e+01,7.927077211287263481e+01
4.135133276068961999e-02,5.034393756927502572e+00,6.509461803351173614e+01,7.000000000000000000e+00,9.876912039684000888e+01,2.979679917384255194e+00,1.978791752642589774e+00,5.402469980047326370e-01,2.798029005704839989e+01,2.000000000000000000e+00,5.354319197902363214e+01,4.816032209179184065e+01,6.974563814513913940e+01,9.615950897019664012e+01,6.846408943807445269e+01
8.490699459561355800e-02,9.534275067098281653e+00,8.360460238299889113e+01,7.000000000000000000e+00,8.084979650645234983e+01,1.432159381001531173e+00,1.383728959945225379e+00,1.528344920095642490e+00,1.281422086556493767e+01,0.000000000000000000e+00,7.575966665341984196e+01,3.971334765367789288e+01,5.806764214490080178e+01,6.526270144866980161e+01,8.324927011055137882e+01
2.392734524822117542e-02,8.303723055468985592e+00,9.334794944023084895e+01,3.000000000000000000e+00,7.735040713639159549e+01,2.263465795478526665e+00,8.603770706090321241e-01,9.146123956615122008e-01,2.146449431567663879e+01,2.000000000000000000e+00,7.629395900647361373e+01,5.594155393648576080e+01,5.751078185413307153e+01,7.591538773324589329e+01,8.020371636374011359e+01
5.206603937287530154e-02,1.479608706121486206e+00,8.655916142547883396e+01,5.000000000000000000e+00,7.525699828853632312e+01,8.862825931875726315e-01,1.809257061939755218e+00,2.710349273935947600e+00,2.865534803651494400e+01,0.000000000000000000e+00,5.098905397330227629e+01,4.353527578984711965e+01,6.438384199011166231e+01,8.476345045741280160e+01,6.550178527839740639e+01
9.968417676772078906e-02,6.264378685537304037e+00,5.748983566399380862e+01,7.000000000000000000e+00,9.625319939548170112e+01,2.096369053995795095e+00,7.614931014600306858e-01,2.340088969858163281e+00,1.357950054442267351e+01,2.000000000000000000e+00,4.661451125674389573e+01,2.163895882639000590e+01,4.321533179244288903e+01,7.276769877251599894e+01,6.007529165051561648e+01
4.799818282614311260e-02,9.936685977907925960e+00,6.903362125356728995e+01,8.000000000000000000e+00,6.113736823273089271e+01,1.370023428346470284e+00,1.205787405763905917e-01,2.361653405985818299e+00,2.946311446533304945e+01,1.000000000000000000e+00,7.452971161411922196e+01,4.468094847178646489e+01,7.136269413031375564e+01,8.076219180775713369e+01,6.735450279059543277e+01
9.508391546552674711e-02,7.578039392203645086e+00,5.829146515476227819e+01,7.000000000000000000e+00,8.951050054942447787e+01,2.938463267424074488e+00,1.639530492874371248e+00,2.005596781634399584e+00,1.980167477890983818e+01,0.000000000000000000e+00,5.726883053146861613e+01,1.757365079675237141e+01,5.624708396913018760e+01,8.156609865860646380e+01,7.556224615340488526e+01
1.435804174693588314e-02,8.117766995218930859e+00,7.744432193546376197e+01,6.000000000000000000e+00,8.996461553645140441e+01,2.536958119406509393e+00,4.237538222371778351e-01,1.143853692009225487e+00,1.873627477862928004e+01,0.000000000000000000e+00,8.100691119390590700e+01,5.232065817983304612e+01,8.103711626925105804e+01,7.934797635523274550e+01,6.470886906863154309e+01
6.457533570306939197e-02,4.009245211807758835e+00,7.886407732153115546e+01,3.000000000000000000e+00,6.831489986585492602e+01,1.164688810478039072e+00,2.907198364169187865e-01,1.368065563630491033e+00,2.320062134260508202e+01,2.000000000000000000e+00,4.931007759498753273e+01,5.009096458309034716e+01,4.633464185544804081e+01,7.695908951550003962e+01,5.528132694529268321e+01
6.228549479561015789e-02,7.476327220672522422e+00,8.654591424809352418e+01,4.000000000000000000e+00,6.690215212821847501e+01,7.901685184101376880e-01,1.661993555926344124e+00,7.414165382151806094e-01,2.468042547970724243e+01,0.000000000000000000e+00,7.138804949030340197e+01,5.693879022824800984e+01,5.246012535588723580e+01,7.602594008393469949e+01,7.918404200309568353e+01
7.445786222121732190e-02,9.512195250220173648e+00,9.069155465373007985e+01,8.000000000000000000e+00,8.660522916355745338e+01,2.576681039884437752e+00,6.348552400240812243e-01,1.613142821652791881e+00,2.105115717716703472e+01,0.000000000000000000e+00,7.613424279210354939e+01,2.989484870572803032e+01,6.899595485007705520e+01,7.623330300889676892e+01,7.842202803242112452e+01
1.556524366359220146e-02,9.799091736643191553e+00,7.098606344158655190e+01,6.000000000000000000e+00,9.606615199669997196e+01,2.305870028508983260e+00,1.678542469331067544e+00,1.416972646816234027e+00,2.784822251590757958e+01,1.000000000000000000e+00,8.133987672357216070e+01,5.572976651220825772e+01,7.950935951638425081e+01,9.318103488240230092e+01,8.279841883930372148e+01
5.332244956840152816e-02,4.266009865138570945e+00,7.352735369525692022e+01,6.000000000000000000e+00,7.771763945041097088e+01,2.390781224360900570e+00,7.001774114153079820e-01,2.756098927395282505e+00,1.595215531087272609e+01,2.000000000000000000e+00,5.216928195949742531e+01,2.835528688178144918e+01,5.981896585748682327e+01,6.813715878915903090e+01,5.762114736959900085e+01
1.595765103000439458e-02,1.373620614522157890e+00,5.770049289324808228e+01,4.000000000000000000e+00,6.093028405151940774e+01,1.314008921008314568e+00,1.565342810914988725e+00,9.885134540925162305e-01,1.371168730263919677e+01,2.000000000000000000e+00,4.256054875951613070e+01,6.767633026548448072e+01,6.422660451085737066e+01,5.534438810626532046e+01,5.479829837862738628e+01
3.407219009914689428e-02,8.799232482962352719e+00,7.999858066146428826e+01,7.000000000000000000e+00,8.282391420847397967e+01,1.583691288284289511e+00,3.833298254192588628e-01,1.924736620709480484e+00,2.924020759968326288e+01,2.000000000000000000e+00,7.388339021535324491e+01,5.022985923485457960e+01,6.719949850665415170e+01,8.726698613353055123e+01,6.941886238805291498e+01
8.328678818419435470e-02,6.146683246202455209e+00,7.076717117108852051e+01,3.000000000000000000e+00,6.920038282375726624e+01,2.120549418897896388e+00,3.977571731776251562e-01,9.547750149220319837e-01,2.708923782031425276e+01,1.000000000000000000e+00,5.433464263659279680e+01,4.205426202691155879e+01,3.389351724811943711e+01,8.136540824217904344e+01,5.911357975471842963e+01
7.214582056828507117e-02,6.131133417257778717e+00,5.895211926511521483e+01,3.000000000000000000e+00,7.456150426493982764e+01,7.617081423694076481e-01,1.603378475376229240e+00,2.160365083855054991e+00,1.605024749529229311e+01,0.000000000000000000e+00,5.406772735208282654e+01,4.221379659776300031e+01,4.228097158425033797e+01,7.007502211941501002e+01,6.817303559011823211e+01
2.268670606199157946e-02,4.962814183643040167e+00,6.435261523403170258e+01,4.000000000000000000e+00,7.653967927943224936e+01,1.895102419858653242e+00,1.682149048624784982e+00,2.119158416173830606e+00,2.600754162835813332e+01,2.000000000000000000e+00,5.658987014019284345e+01,4.858265530982860270e+01,6.273706106475778199e+01,8.128335758778516151e+01,6.891542219299469707e+01
1.609655114526291689e-02,2.032294184628208100e+00,9.940427292782339919e+01,4.000000000000000000e+00,6.160340951282687882e+01,1.422475139990003079e+00,5.347859247044042252e-01,2.563738630052284417e+00,1.560465971161623955e+01,0.000000000000000000e+00,6.206151934270300785e+01,4.741244512013309986e+01,7.439356676560935000e+01,5.892515100671219841e+01,5.413007523057770243e+01
